,account,impressions,avg_cpc,ctr,conv_rate,ad_group,headline_1,headline_2,headline_3,description_line_1,description_line_2
8636,,1475,2.54,0.002,0.00%,Mercedes,2019 Aston Martin Vantage,"Lease for $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,397 a month from Aston Martin San Diego.",Here to get the Aston Martin of your dreams in your driveway today.
8614,,670,4.74,0.002,0.00%,Lamborghini,All New Aston Martin DB11,"Lease For $1,747",Aston Martin San Diego,"Lease an all new Aston Martin DB11 Coupe V8 for $1,747 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8606,,1200,1.32,0.002,0.00%,Bentley,Aston Martin DB11 AMR,"Lease The All New DB11, $2,847",Aston Martin San Diego,"Lease an all new Aston Martin DB11 for $2,847 a month. Visit Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8585,,2068,3.52,0.001,0.00%,Porsche 911,2019 Aston Martin Vantage,"Lease for $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,397 a month from Aston Martin San Diego.",Here to get the Aston Martin of your dreams in your driveway today.
8617,,1132,0.0,0.0,0.00%,Lamborghini,All New Aston Martin DB11,"Lease For $2,847",Aston Martin San Diego,"Lease an all new Aston Martin DB11 AMR for $2,847 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8630,,437,0.0,0.0,0.00%,BMW,2019 Aston Martin Vantage,"Lease for $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,397 a month from Aston Martin San Diego.",Here to get the Aston Martin of your dreams in your driveway today.
8633,,322,0.0,0.0,0.00%,Mercedes,The New Aston Martin Vantage,"Lease For $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8638,,817,0.0,0.0,0.00%,Mercedes,Aston Martin Vantage,"Lease A 2019 Coupe For $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,397 a month from Aston Martin San Diego.",36 Month Lease. Hammerhead Silver. Pure Black Interior.
8584,,319,0.0,0.0,0.00%,Porsche 911,Aston Martin Vantage,"Lease The New Vantage, $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8595,,1163,0.0,0.0,0.00%,Porsche 911,Aston Martin Vantage,"Lease A 2019 Coupe For $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,397 a month from Aston Martin San Diego.",36 Month Lease. Hammerhead Silver. Pure Black Interior.
8579,,621,0.0,0.0,0.00%,Rapide,Aston Martin Rapide,Lease The All New Rapide,Aston Martin San Diego,Lease an all new Aston Martin Rapide from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.
