Campaign,Ad Group,Ad type,Labels,Headline 1,Headline 2,Headline 3,Description Line 1,Description Line 2,Path 1,Path 2,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Comment,Impressions,CTR,Avg CPC,Conversions,Cost per conv,Conv rate,Conv value per cost,Avg Pos
Conquest (Model),Rapide,Expanded text ad,Branding,The All New Rapide,Aston Martin Rapide,View San Diego Inventory,Visit Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40rapide&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Rapide,Expanded text ad,Branding,Aston Martin Rapide,The All New Rapide Inventory,Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40rapide&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Rapide,Expanded text ad,KGF06299;Offer,Aston Martin Rapide AMR,View Photos & Details,Aston Martin San Diego,Lease an all new 2019 Aston Martin Rapide from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Rapide-AMR-SCFHMDHZ6KGF06299?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Enabled,Approved,,12578,0.37%,4.06,0,0,0.00%,0,2
Conquest (Model),Rapide,Expanded text ad,KGF06299;Offer,Aston Martin Rapide,Lease A New Rapide AMR,Aston Martin San Diego,Lease an all new Aston Martin Rapide from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Rapide-AMR-SCFHMDHZ6KGF06299?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Enabled,Approved,,321,0.31%,4.89,0,0,0.00%,0,2.2
Conquest (Model),Porsche 911,Expanded text ad,KGN02587;Offer,Aston Martin Vantage,"Lease The New Vantage, $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Vantage-SCFSMGAW7KGN02587?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,319,0.00%,0,0,0,0.00%,0,2
Conquest (Model),Porsche 911,Expanded text ad,KGN01016;Offer,2019 Aston Martin Vantage,"Lease for $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,397 a month from Aston Martin San Diego.",Here to get the Aston Martin of your dreams in your driveway today.,,,https://www.astonmartinsandiego.com/inventory/used-2019-Aston+Martin-Vantage-Coupe-SCFSMGAW3KGN01016?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,2068,0.10%,3.52,0,0,0.00%,0,2.1
Conquest (Model),Porsche 911,Expanded text ad,KGN01016;Offer,2019 Vantage Coupe,"Lease for $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage for $1,397 a month from Aston Martin San Diego","36 Month Lease. 15,000 Due at Signing. Offer Expires 7/31/19.",,,https://www.astonmartinsandiego.com/inventory/used-2019-Aston+Martin-Vantage-Coupe-SCFSMGAW3KGN01016?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,1271,1.02%,2.74,0,0,0.00%,0,2.3
Conquest (Model),Porsche 911,Expanded text ad,KGN01670;Offer,2019 Vantage Coupe,"Lease for $1,597",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage for $1,597 a month from Aston Martin San Diego","36 Month Lease. 15,000 Due at Signing. Offer Expires 7/31/19.",,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Vantage-SCFSMGAW0KGN01670?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,190,0.00%,0,0,0,0.00%,0,2.5
Conquest (Model),Porsche 911,Expanded text ad,Branding,The All New Vantage,Aston Martin Vantage,View San Diego Inventory,Visit Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40vantage&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Porsche 911,Expanded text ad,KGN01670;Offer,2019 Aston Martin Vantage,"Lease for $1,597",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,597 a month from Aston Martin San Diego.",Here to get the Aston Martin of your dreams in your driveway today.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Vantage-SCFSMGAW0KGN01670?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,126,0.79%,3.07,0,0,0.00%,0,2.2
Conquest (Model),Porsche 911,Expanded text ad,KGN01670;Offer,Aston Martin Vantage,"Lease A 2019 Coupe For $1,597",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,597 a month from Aston Martin San Diego.",36 Month Lease. Skyfall Silver. Dark Knight and Argento Interior.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Vantage-SCFSMGAW0KGN01670?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,135,0.74%,0.94,0,0,0.00%,0,2
Conquest (Model),Porsche 911,Expanded text ad,Branding,Aston Martin Vantage,View Vantage Inventory,Aston Martin San Diego,Visit Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40vantage&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Porsche 911,Expanded text ad,KGN02587;Offer,The New Aston Martin Vantage,"Lease For $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Vantage-SCFSMGAW7KGN02587?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,1042,0.48%,4.22,0,0,0.00%,0,2.1
Conquest (Model),Porsche 911,Expanded text ad,KGN02587;Offer,All New Aston Martin Vantage,"Lease A New Vantage for $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Vantage-SCFSMGAW7KGN02587?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,149,2.01%,3.29,0,0,0.00%,0,2.1
Conquest (Model),Porsche 911,Expanded text ad,Branding,Aston Martin Vantage,The All New Vantage Inventory,Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40vantage&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Porsche 911,Expanded text ad,KGN01016;Offer,Aston Martin Vantage,"Lease A 2019 Coupe For $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,397 a month from Aston Martin San Diego.",36 Month Lease. Hammerhead Silver. Pure Black Interior.,,,https://www.astonmartinsandiego.com/inventory/used-2019-Aston+Martin-Vantage-Coupe-SCFSMGAW3KGN01016?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,1163,0.00%,0,0,0,0.00%,0,2.1
Conquest (Model),Bentley,Expanded text ad,Branding,Aston Martin DB11,Aston Martin San Diego,View Inventory Now,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40db11%2Bvolante%2Cdb11%2Bcoupe%2Cdb11%2Bamr&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Bentley,Expanded text ad,KGM07817;Offer,Aston Martin DB11,"Lease The All New DB11, $1,997",Aston Martin San Diego,"Lease an all new Aston Martin DB11 V8 for $1,997 a month. Visit Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+Volante-SCFRMFCW8KGM07817?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,291,0.34%,4.01,0,0,0.00%,0,2.5
Conquest (Model),Bentley,Expanded text ad,Branding,Discover Aston Martin DB11,View Inventory Now,Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,"Visit our state of the art showroom & high-end, comprehensive service department today.",,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40db11%2Bvolante%2Cdb11%2Bcoupe%2Cdb11%2Bamr&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Bentley,Expanded text ad,KGL07934;Offer,All New Aston Martin DB11,"Lease For $1,747",Aston Martin San Diego,"Lease an all new Aston Martin DB11 Coupe V8 for $1,747 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+Coupe-V8-SCFRMFAW1KGL07934?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,157,0.00%,0,0,0,0.00%,0,1.9
Conquest (Model),Bentley,Expanded text ad,KGM07817;Offer,All New Aston Martin DB11,"Lease For $1,997",Aston Martin San Diego,"Lease a new Aston Martin DB11 Volante for $1,997 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+Volante-SCFRMFCW8KGM07817?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,413,4.12%,4.4,0,0,0.00%,0,1.7
